Title,URL,TextFile,ImageFiles,TextPreview
Mice in Bion-M 1 space mission: training and selection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,texts/Mice_in_Bion_M_1_space_mission__training_and_selection.txt,,
"Microgravity induces pelvic bone loss through osteoclastic activity, osteocytic osteolysis, and osteoblastic cell cycle inhibition by CDKN1a/p21",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/,texts/Microgravity_induces_pelvic_bone_loss_through_osteoclastic_a.txt,,
Stem Cell Health and Tissue Regeneration in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/,texts/Stem_Cell_Health_and_Tissue_Regeneration_in_Microgravity.txt,,
Microgravity Reduces the Differentiation and Regenerative Potential of Embryonic Stem Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/,texts/Microgravity_Reduces_the_Differentiation_and_Regenerative_Po.txt,,
Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/,texts/Microgravity_validation_of_a_novel_system_for_RNA_isolation_.txt,,
Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/,texts/Spaceflight_Modulates_the_Expression_of_Key_Oxidative_Stress.txt,,
Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/,texts/Dose__and_Ion_Dependent_Effects_in_the_Oxidative_Stress_Resp.txt,,
From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460236/,texts/From_the_bench_to_exploration_medicine__NASA_life_sciences_t.txt,,
High-precision method for cyclic loading of small-animal vertebrae to assess bone quality.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/,texts/High_precision_method_for_cyclic_loading_of_small_animal_ver.txt,,
Effects of ex vivo ionizing radiation on collagen structure and whole-bone mechanical properties of mouse vertebrae.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/,texts/Effects_of_ex_vivo_ionizing_radiation_on_collagen_structure_.txt,,
